ano,inflacao,salario,cesta
2014,6.41,724,321    
2015,10.67,788,357
2016,6.29,880,357
2017,2.95,937,347
2018,3.75,954,360
2019,4.31,998,469
2020,4.52,1045,817
2021,10.06,1100,676
2022,5.79,1212,705
2023,4.62,1320,670
2024,4.83,1412,817
