Tipos;Quantidade;Ano
Hominicidio;1054;2024
Feminicidio;30;2024
Lesao Corporal;24;2024
Latrocinio;24;2024
Hominicidio;121;2025
Feminicidio;3;2025
Lesao Corporal;3;2025
Latrocinio;2;2025
